sample	date	site	experiment	experiment_1	experiment_2	experiment_3	experiment_4	core	distance	depth	DNA_cDNA	name	sample_name
Jul24_CB_core_1_10_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	10	10	cDNA	Jul24_CB_1_10_cDNA_AV4V5	Jul24_CB_1_10
Jul24_CB_core_1_10_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	10	10	DNA	Jul24_CB_1_10_DNA_AV4V5	Jul24_CB_1_10
Jul24_CB_core_1_100_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	100	100	cDNA	Jul24_CB_1_100_cDNA_AV4V5	Jul24_CB_1_100
Jul24_CB_core_1_100_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	100	100	DNA	Jul24_CB_1_100_DNA_AV4V5	Jul24_CB_1_100
Jul24_CB_core_1_125_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	125	125	cDNA	Jul24_CB_1_125_cDNA_AV4V5	Jul24_CB_1_125
Jul24_CB_core_1_125_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	125	125	DNA	Jul24_CB_1_125_DNA_AV4V5	Jul24_CB_1_125
Jul24_CB_core_1_150_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	150	150	cDNA	Jul24_CB_1_150_cDNA_AV4V5	Jul24_CB_1_150
Jul24_CB_core_1_175_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	175	175	cDNA	Jul24_CB_1_175_cDNA_AV4V5	Jul24_CB_1_175
Jul24_CB_core_1_175_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	175	175	DNA	Jul24_CB_1_175_DNA_AV4V5	Jul24_CB_1_175
Jul24_CB_core_1_20_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	20	20	cDNA	Jul24_CB_1_20_cDNA_AV4V5	Jul24_CB_1_20
Jul24_CB_core_1_20_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	20	20	DNA	Jul24_CB_1_20_DNA_AV4V5	Jul24_CB_1_20
Jul24_CB_core_1_200_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	200	200	cDNA	Jul24_CB_1_200_cDNA_AV4V5	Jul24_CB_1_200
Jul24_CB_core_1_200_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	200	200	DNA	Jul24_CB_1_200_DNA_AV4V5	Jul24_CB_1_200
Jul24_CB_core_1_250_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	250	250	cDNA	Jul24_CB_1_250_cDNA_AV4V5	Jul24_CB_1_250
Jul24_CB_core_1_250_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	250	250	DNA	Jul24_CB_1_250_DNA_AV4V5	Jul24_CB_1_250
Jul24_CB_core_1_290_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	290	290	cDNA	Jul24_CB_1_290_cDNA_AV4V5	Jul24_CB_1_290
Jul24_CB_core_1_30_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	30	30	cDNA	Jul24_CB_1_30_cDNA_AV4V5	Jul24_CB_1_30
Jul24_CB_core_1_30_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	30	30	DNA	Jul24_CB_1_30_DNA_AV4V5	Jul24_CB_1_30
Jul24_CB_core_1_40_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	40	40	cDNA	Jul24_CB_1_40_cDNA_AV4V5	Jul24_CB_1_40
Jul24_CB_core_1_40_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	40	40	DNA	Jul24_CB_1_40_DNA_AV4V5	Jul24_CB_1_40
Jul24_CB_core_1_5_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	5	5	cDNA	Jul24_CB_1_5_cDNA_AV4V5	Jul24_CB_1_5
Jul24_CB_core_1_5_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	5	5	DNA	Jul24_CB_1_5_DNA_AV4V5	Jul24_CB_1_5
Jul24_CB_core_1_50_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	50	50	cDNA	Jul24_CB_1_50_cDNA_AV4V5	Jul24_CB_1_50
Jul24_CB_core_1_50_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	50	50	DNA	Jul24_CB_1_50_DNA_AV4V5	Jul24_CB_1_50
Jul24_CB_core_1_75_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	NO	1	75	75	cDNA	Jul24_CB_1_75_cDNA_AV4V5	Jul24_CB_1_75
Jul24_CB_core_1_75_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	1	75	75	DNA	Jul24_CB_1_75_DNA_AV4V5	Jul24_CB_1_75
Jul24_CB_core_2_10_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	10	10	cDNA	Jul24_CB_2_10_cDNA_AV4V5	Jul24_CB_2_10
Jul24_CB_core_2_10_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	10	10	DNA	Jul24_CB_2_10_DNA_AV4V5	Jul24_CB_2_10
